,title,company,location,salary
0,Data Analyst,Cyberbacker,+1 locationRemote,"PHP 75,000 a month"
1,Data Analyst (Work-from-Home) 25k to 35k,M & J Solutions Provider - Recruitment,Remote in Manila,"PHP 35,000 a month"
2,Data Analyst Backer,Cyberbacker,Remote in Manila+1 location,"PHP 20,000 - PHP 70,000 a month"
3,Data Processing Analyst,Bolton International,Taguig,"PHP 25,000 - PHP 40,000 a month"
4,Data Analyst (WFH/Night Shift),"iGen Payment Systems, Inc.",Remote in Makati,"PHP 20,000 - PHP 28,000 a month"
5,Data Analyst,Eteam Workforce Private Corp.,Makati,"PHP 20,000 - PHP 30,000 a month"
6,Data Analytics,HC,Taguig,"PHP 90,000 a month"
7,"Data Analyst | Freelance, Remote Work","Magic, Inc.",Remote in Taguig,Information not available
8,Data Analyst,ATV International ROHQ,Alabang,Information not available
9,Data Analyst,Hammerjack,Makati,"PHP 30,000 - PHP 40,000 a month"
10,Data Entry Analyst | Open to Fresh Graduates (EL 980),Accenture,Mandaluyong,Information not available
11,DCom Data & Analytics,Unilever,Taguig,Information not available
12,Data Analyst - Night Shift!,"QIAGEN Business Services (Manila), Inc.",Taguig,"PHP 60,000 - PHP 80,000 a month"
13,Business Analyst + Perma WFH,Aspiree Inc.,Remote in Muntinlupa,"PHP 50,000 - PHP 100,000 a month"
14,Pricing Analyst,Reps & Co,Remote in Manila,"PHP 50,000 - PHP 70,000 a month"
15,Junior Inventory Analyst,DG Casa,Remote,"PHP 20,000 - PHP 35,000 a month"
16,Reporting Analyst,Joseph Riley Recruitment Services,Makati,"PHP 40,000 - PHP 60,000 a month"
17,Data Analyst - Entry Level,PSM Ltd.,Parañaque,"PHP 15,000 a month"
18,Data Analyst,"Proview Global Administration, Inc.",Temporarily Remote in Ortigas+1 location,"PHP 20,000 - PHP 25,000 a month"
19,Data Analyst - Work From Home,Twoconnect,Remote in Parañaque+2 locations,"PHP 40,000 - PHP 60,000 a month"
20,Data Analyst I,RealPage Philippines Inc.,Remote in Pasig+1 location,Information not available
21,Inventory Analyst (Contract Based/Hybrid),Baivi Outsourcing Inc.,Remote in Mandaluyong,"PHP 50,000 a month"
22,Data Analyst,DTI-SB Corporation,Makati,"PHP 48,000 - PHP 81,000 a month"
23,Data Analyst (EDI),"Proview Global Administration, Inc.",Temporarily Remote in Pasig,"PHP 22,000 - PHP 35,000 a month"
24,Junior Data Analyst,Datawords,Makati+1 location,Information not available
25,Amazon Reports Analyst | Temp WFH (35k-40k Salary),M & J Solutions Provider Inc.,Remote in Pasig,"PHP 35,000 - PHP 40,000 a month"
26,Sr. Data Analyst (US Finance),Personiv Philippines,Remote in Muntinlupa,"PHP 35,000 - PHP 60,000 a month"
27,Data Analyst,AscenTPRO,Temporarily Remote in Taguig,"PHP 50,000 - PHP 70,000 a month"
28,Data Analyst,"Viventis Search Asia, Inc",Makati,"PHP 40,000 - PHP 80,000 a month"
29,Data Science and Analytics,Motolite,Santa Maria,Information not available
30,Data Analytics and Reports,"QIAGEN Business Services (Manila), Inc.",Taguig,"PHP 30,000 - PHP 42,000 a month"
31,Reports Analyst,PSM Ltd.,Taguig,"PHP 40,000 - PHP 50,000 a month"
32,Data|Reports Analyst - WFH,AHS,Remote in Taguig,Information not available
33,Risk Control Analyst,Ekxinum Inc.,Alabang,Information not available
34,Data Analyst,Cohu Delta Design LLC.,Calamba City,Information not available
35,Data Analyst at KMC Solutions Inc.,LPJ,Makati,"PHP 70,000 - PHP 90,000 a month"
36,Data Analyst,iGen Payment System Inc.,Remote in Makati,"PHP 20,000 - PHP 28,000 a month"
37,Business Process Analyst - Work At Home,PETNET INC,Remote in Makati,"PHP 18,000 - PHP 22,000 a month"
38,Data Analyst URGENT!!!,International Marketing Group,Makati,Information not available
39,Jr./Sr. Data Analyst (We Provide Training),Kooapps Philippines Corporation,Temporarily Remote in Makati,Information not available
40,Reports Analyst (Amazon) 35k-45k | Temporary WFH plus equipm...,Intelegencia BPO,Remote in Pasig,"PHP 40,000 a month"
41,Product Data Analyst,iSupport Worldwide,Ortigas+1 location,"PHP 28,000 - PHP 35,000 a month"
42,Research Analyst,AscenTPRO,Remote in Taguig,"PHP 60,000 a month"
43,Data Analyst,Bolton International,Taguig,"PHP 25,000 - PHP 32,000 a month"
44,Data Analyst (Warehouse and Logistics),Demopower Philippines Inc.,Remote in Taguig+1 location,"PHP 25,000 - PHP 35,000 a month"
45,Data Analyst,Acrewell,Remote in Manila,"PHP 380,000 - PHP 420,000 a year"
46,Data and Pricing Analyst,JACSS Dynamic Business Outsourcing Solutions INC.,Cubao,"PHP 30,000 - PHP 60,000 a month"
47,Sales Data Analyst,Tech101 Technologies Inc,Caloocan,"PHP 18,000 - PHP 20,000 a month"
48,Data Analyst,Enshored Inc.,Remote in Pasig,"PHP 19,000 - PHP 21,500 a month"
49,Junior Business Analyst,INFO-ALCHEMY CORPORATION,Remote in Pasig,"PHP 35,000 a month"
50,Reporting Analyst (SA ) | Salary 35K-40K,GHS Recruitment Specialist,Pasig,"PHP 35,000 - PHP 40,000 a month"
51,Data Analyst,World Balance International Inc.,Caloocan,"PHP 22,000 - PHP 30,000 a month"
52,Data Analyst (Tableau),"Third Pillar Business Applications, Inc.",Remote in Makati,Information not available
53,Financial Research Analyst (Fresh Graduates),FactSet Philippines Inc.,Taguig,Information not available
54,Data Analysts (proficient in using Excel/Macros),Bolton International,Taguig,"PHP 30,000 - PHP 35,000 a month"
55,Data Analyst (Open to fresh graduates),Emerson Philippines,Quezon City,Information not available
56,Data Analyst (Hybrid Setup) 35k,M & J Solutions Provider - Recruitment,Remote in Manila+1 location,"PHP 35,000 a month"
57,Care Management US RN Data Analyst,Accenture,Remote in Manila,Information not available
58,Data Analyst | START ASAP |BATANGAS,NTT Philippines Digital Business Solutions Inc.,Tanauan,Information not available
59,Data Processing Analyst (temporary WFH),Bolton International,Remote in Taguig,"PHP 25,000 - PHP 30,000 a month"
60,Data Analyst (WORK FROM HOME),Sprout Solutions,Remote in Taguig,Information not available
61,Junior to Senior Business Analyst,Indra Philippines,Manila,"PHP 45,000 - PHP 65,000 a month"
62,Data Analyst,EnablesGROUP,Pasig,"PHP 25,000 - PHP 45,000 a month"
63,Risk and Compliance Analyst- BPO,TPG Telecom - Manila,Remote in Pasig,"PHP 50,000 a month"
64,DATA ANALYST,"BP Waterworks, Inc.",Bacoor,"PHP 23,000 - PHP 24,000 a month"
65,CRM Data Analyst,Civicom Inc,Muntinlupa,"PHP 35,000 - PHP 40,000 a month"
66,Data Analyst,Verto Network Solutions,Pasig,"PHP 13,000 - PHP 30,000 a month"
67,Data Analyst,"iGen Payment Systems, Inc.",Remote in Makati,Information not available
68,Reports Data Analyst (eCommerce) | Ortigas 0066,Intelegencia BPO LLC Corp.,Pasig,"PHP 40,000 a month"
69,Data Analyst,One Outsource Direct Corp.,Taguig,Information not available
70,Senior Data Analyst,C9 STAFF,Remote,"PHP 40,000 a month"
71,Business Analyst,"Hitachi Digital Payment Solutions Philippines,...",Makati,"PHP 40,000 - PHP 70,000 a month"
72,Data Analyst,"Genfinity Philippines, Inc.",Makati,"PHP 30,000 - PHP 35,000 a month"
73,Real Time Analyst,Enshored Inc.,Remote in Pasig,"PHP 30,000 - PHP 35,000 a month"
74,Data Analyst,Comworks Inc.,Quezon City,"PHP 25,000 a month"
75,Data Analyst | Remote Set-up,M & J Solutions Provider Inc.,Remote in Makati,"PHP 15,000 - PHP 35,000 a month"
76,"Data Analyst (Up to P80,000 salary)",Creedon Technologies,Remote in Pasig,Information not available
77,Junior Data Analyst,Datawords Philippines,Makati,Information not available
78,"Data Analyst (Non Voice) | San Nicolas, Ilocos Norte (EL 167...",Accenture,Laoag,Information not available
79,Customer Data Management Analyst II,Reed Elsevier Philippines,Quezon City,"PHP 37,000 - PHP 45,000 a month"
80,JUNIOR DATA ANALYSTS (Open for Fresh Graduates),Institutional Shareholder Services Philippines,Makati,"PHP 19,000 - PHP 21,000 a month"
81,Data Analyst/Encoder,Telan Solutions,Pasig,PHP 537 - PHP 600 a day
82,Data Analyst,Perpetual Help Medical Center - Las Piñas,Las Piñas,"PHP 17,000 - PHP 19,000 a month"
83,Data Analyst (Pivot and Vlook Up),M2MJ Human Resources Consulting,Makati,"PHP 20,000 a month"
84,Data Visualizations Analyst,TaskUS,Angeles+9 locations,Information not available
85,Data Analyst,Unilever,Taguig,Information not available
86,Data Analyst L2 (Air or Sea Freight Operations),Bolton International,Taguig,"PHP 28,000 - PHP 35,000 a month"
87,Data Analyst Team Lead (HD) - URGENT!,"John Clements Consultants, Inc.",Taguig,"PHP 75,000 - PHP 80,000 a month"
88,DATA ANALYST,Suntouch Tecnology Corporation,Manila,Information not available
89,Data Analyst,Tamaray People Solutions,+1 locationRemote,Information not available
